detail_id,contact_id,job,notes,favorite
1,1,학습지 및 방문 교사,In sit assumenda itaque repellat. Voluptas ducimus sequi facilis beatae eum corrupti.,False
2,2,보육 교사,Molestias veritatis sit.,True
3,3,목제품 제조관련 종사원,Quas tempore perferendis reiciendis nobis iure nulla.,False
4,4,기타 사육관련 종사원,Ab odio soluta eaque natus amet in libero. Nisi corporis aliquam quaerat nemo ad.,False
5,5,자동차 정비원,Adipisci non animi qui officia maiores. Esse doloribus delectus nihil ab commodi.,True
6,6,건설 및 광업 단순 종사원,Aliquam eaque hic debitis. Dolores repellat ipsa harum dolorum mollitia.,False
7,7,기타 공학관련 기술자 및 시험원,Consequuntur aliquid corrupti odit. Officiis modi in nulla.,False
8,8,영양사,Beatae eveniet doloremque recusandae sint. Molestias quidem laudantium aspernatur.,False
9,9,시스템 소프트웨어 개발자,Reprehenderit officia facilis. Suscipit a sit est.,False
10,10,환경공학 시험원,Corporis fuga qui qui perspiciatis animi. Quibusdam quia quisquam fugit omnis illo.,True
11,11,과실 및 채소 관련 기계조작원,Iusto aliquid at. Accusamus rem perspiciatis. Aliquid magnam molestias vel tenetur.,False
12,12,과실 및 채소 관련 기계조작원,Vel quibusdam officiis quia perferendis. Sed ducimus expedita optio eveniet tempore.,False
13,13,응용 소프트웨어 개발자,Praesentium voluptate quisquam laborum. Magnam nobis accusantium voluptatibus itaque.,True
14,14,웹 개발자,Voluptate culpa nam ab. Quam ratione vitae minima deserunt.,False
15,15,인쇄기 조작원,"Accusamus ipsum dicta totam.
Dolorum at ipsum placeat fugit. Nisi nobis laborum doloremque.",False
16,16,통신 및 방송송출 장비 기사,Laboriosam excepturi voluptates consectetur sapiente. Provident fuga est voluptas.,False
17,17,법무사 및 집행관,Nulla ea quae inventore quis esse placeat. Autem est perspiciatis quidem nihil nobis.,False
18,18,소방공학 기술자 및 연구원,"Eum molestiae in aut nulla eveniet.
Enim laboriosam odit perferendis nihil. Omnis dolores debitis.",False
19,19,무역 사무원,Doloremque aperiam iure recusandae quod. Ab et nam minima. Eaque sapiente debitis nam.,True
20,20,바텐더,Commodi nihil officia. Aperiam ex earum id ipsa reprehenderit id.,True
21,21,응용 소프트웨어 개발자,Beatae vero sed. Quidem minima nihil eligendi.,True
22,22,기타 전기/전자기기 설치 및 수리원,Culpa soluta aspernatur. Alias aut qui accusantium fugiat. Sit ab ipsum iusto provident.,True
23,23,택시 운전원,Tempore sunt nulla id numquam earum sunt distinctio. Doloremque facere similique ullam nisi dolore.,False
24,24,상점 판매원,Ea nihil ratione distinctio. Nostrum beatae aliquam error inventore.,True
25,25,기타 금융 및 보험 관련 전문가,Porro nihil nesciunt cumque impedit pariatur. Nisi accusamus ut voluptate.,False
