analytics_id,q1,total_answers,accepted_answer_id,avg_answer_length,best_answer_score,response_time_avg,tags,bookmark_count,share_count,updated_at
204,204,9,97.0,272,22,8,"['eligendi', 'veniam', 'natus']",7,0,2025-04-10 19:57:29.530356
267,267,13,74.0,673,50,61,"['ab', 'minus']",2,9,2025-04-20 20:34:04.996517
153,153,0,33.0,307,37,6,"['ipsam', 'quas', 'corrupti']",31,0,2025-05-14 22:39:39.797773
10,10,5,,288,34,23,"['ipsum', 'est', 'at']",36,10,2025-05-22 05:38:16.736941
234,234,15,34.0,102,11,9,"['quod', 'repellendus', 'reprehenderit', 'aut']",42,0,2025-03-24 13:42:27.172823
227,227,0,93.0,384,37,60,"['vel', 'saepe', 'expedita']",22,7,2025-03-10 03:05:24.958493
197,197,3,,800,25,37,['quibusdam'],21,4,2025-03-18 12:18:51.996108
110,110,14,59.0,718,35,46,"['aliquid', 'asperiores', 'fuga', 'minima']",37,18,2025-04-15 20:45:10.490169
6,6,3,,230,3,43,"['reiciendis', 'voluptatibus', 'officiis', 'ad']",40,15,2025-04-21 05:37:28.827775
176,176,13,54.0,329,9,37,"['quae', 'voluptas', 'nihil', 'porro']",43,9,2025-05-05 15:48:57.151730
238,238,14,59.0,584,8,44,"['modi', 'hic', 'eveniet', 'ab', 'nisi']",41,18,2025-03-15 19:49:43.935465
58,58,0,64.0,246,27,5,['nam'],26,14,2025-04-16 09:32:05.356876
219,219,7,57.0,485,47,13,"['veritatis', 'itaque', 'at', 'quod', 'dolorum']",43,19,2025-05-14 22:57:40.546634
46,46,11,87.0,82,30,1,"['ducimus', 'molestias', 'magni', 'nisi']",22,17,2025-04-10 10:46:49.338292
183,183,10,67.0,116,41,9,"['a', 'ipsa', 'magni', 'veniam']",0,9,2025-05-30 11:15:32.532685
222,222,6,20.0,261,29,24,"['officiis', 'iste', 'laudantium']",2,8,2025-04-06 07:37:34.969024
290,290,10,34.0,565,14,4,"['natus', 'nesciunt', 'placeat', 'consequatur', 'harum']",32,13,2025-04-19 08:01:46.881312
212,212,10,50.0,93,21,43,['voluptate'],21,2,2025-04-30 12:09:32.331444
149,149,1,24.0,522,2,61,"['nihil', 'officia', 'et', 'veritatis', 'iure']",32,18,2025-03-21 18:55:50.750418
166,166,9,,771,35,4,"['repellat', 'illo', 'illum']",22,4,2025-05-01 06:25:29.410755
79,79,0,,645,13,68,"['dicta', 'praesentium', 'nesciunt', 'perspiciatis', 'cum']",43,12,2025-05-27 17:44:45.326860
114,114,2,,92,16,10,"['animi', 'amet', 'aspernatur', 'sint']",33,6,2025-04-13 09:02:58.077457
250,250,4,64.0,522,22,39,"['distinctio', 'culpa', 'perspiciatis']",32,19,2025-05-01 07:26:34.646150
251,251,3,18.0,745,10,22,"['nihil', 'fugit', 'autem', 'possimus', 'officia']",21,20,2025-03-28 03:14:47.616178
105,105,2,100.0,90,24,9,"['harum', 'quisquam', 'voluptatibus']",22,9,2025-03-22 07:50:08.592952
43,43,4,95.0,277,38,62,"['aliquam', 'labore']",39,1,2025-05-18 13:15:40.329125
282,282,9,,258,8,45,"['dolorem', 'sunt', 'officiis']",14,8,2025-06-02 05:24:30.741638
296,296,0,,256,19,38,"['repellat', 'voluptatibus']",22,11,2025-04-22 11:12:28.766445
158,158,4,92.0,264,19,10,"['odit', 'perspiciatis', 'a', 'harum']",3,7,2025-05-28 02:52:14.258122
239,239,6,20.0,688,16,57,"['alias', 'facilis', 'deserunt', 'aperiam', 'recusandae']",38,12,2025-03-31 08:23:46.320504
18,18,0,22.0,163,18,11,"['quae', 'explicabo', 'praesentium', 'totam']",41,12,2025-05-25 17:30:53.130470
