setting_id,user_id,risk_level,notification_enabled,investment_experience,preferred_sectors,investment_goal
80,80,중립형,False,1년 미만,기술주,장기성장
42,42,중립형,False,5년 미만,금융주,장기성장
59,59,안정형,False,10년 미만,혼합,배당수익
49,49,안정형,False,5년 미만,금융주,단기수익
99,99,안정형,True,1년 미만,금융주,안정적보존
58,58,안정형,True,5년 미만,헬스케어,단기수익
76,76,중립형,True,1년 미만,혼합,배당수익
33,33,중립형,False,10년 미만,기술주,안정적보존
95,95,중립형,True,1년 미만,소비재,배당수익
60,60,공격형,False,5년 미만,금융주,안정적보존
64,64,중립형,True,1년 미만,헬스케어,배당수익
85,85,공격형,True,1년 미만,기술주,배당수익
38,38,공격형,False,5년 미만,기술주,안정적보존
30,30,안정형,False,5년 미만,에너지,장기성장
2,2,공격형,True,5년 미만,혼합,안정적보존
53,53,공격형,False,1년 미만,기술주,안정적보존
22,22,안정형,False,1년 미만,기술주,장기성장
3,3,안정형,False,5년 미만,혼합,안정적보존
24,24,공격형,False,10년 미만,금융주,안정적보존
88,88,중립형,False,1년 미만,에너지,단기수익
92,92,안정형,False,5년 미만,헬스케어,안정적보존
75,75,안정형,True,5년 미만,기술주,장기성장
87,87,공격형,True,5년 미만,금융주,안정적보존
83,83,중립형,True,5년 미만,혼합,안정적보존
21,21,공격형,False,10년 미만,소비재,단기수익
61,61,공격형,False,1년 미만,에너지,장기성장
72,72,안정형,False,10년 미만,금융주,안정적보존
15,15,중립형,False,1년 미만,혼합,안정적보존
93,93,공격형,False,5년 미만,금융주,장기성장
52,52,중립형,False,10년 미만,금융주,안정적보존
