tournament_id,tournament_name,start_date,end_date,prize_pool
1,출판된 근본적 엔진 토너먼트,2025-04-06,2026-06-01,3022965
2,다양한 확장 회로 토너먼트,2025-06-25,2025-08-03,2834180
3,올바른 사이즈의 고도 기반 분석 토너먼트,2025-03-19,2026-03-12,9186096
4,조직화된 3세대 프레임 토너먼트,2025-04-29,2025-08-04,5175791
5,변경 가능한 멀티 태스킹 성공 토너먼트,2025-04-04,2025-11-27,3744398
6,최적화된 필수 인트라넷 토너먼트,2025-02-06,2026-03-02,4941021
7,수익에 중점을 둔 스며든 에뮬레이션 토너먼트,2025-06-24,2026-04-03,5189647
8,특별한 요약 허브 토너먼트,2025-01-26,2025-11-11,6221856
9,크로스 플랫폼 주파수 탐지 가능 시너지 토너먼트,2025-08-20,2026-01-28,1225466
10,복제된 근본적 축적 토너먼트,2024-12-14,2025-08-12,7228275
11,멀티 레이어 상황에 맞는 함수 토너먼트,2025-03-16,2025-08-20,7668619
12,멀티 레이어 최대화 아카이브 토너먼트,2025-05-27,2026-01-31,1533704
13,공개 아키텍쳐 해답 기반 관리자 토너먼트,2024-12-28,2025-10-05,5004477
14,공개 키 국가적 함수 토너먼트,2025-07-20,2025-12-03,315535
15,디지털화된 상황에 맞는 생산 능력 토너먼트,2024-12-23,2026-02-06,169375
16,낮은 환경 친화적 환경 토너먼트,2025-07-07,2025-11-02,7261254
17,크로스 플랫폼 확장 알고리즘 토너먼트,2025-06-11,2025-10-29,7698228
18,강력한 요약 프레임 토너먼트,2025-04-29,2025-12-27,107099
19,1:1 작동 패러다임 토너먼트,2025-08-31,2025-06-26,2059826
20,크로스 그룹 무해한 축적 토너먼트,2025-02-05,2026-05-24,8939141
21,최전방 결합된 구조체 토너먼트,2025-04-26,2025-12-26,4929002
22,중심이 휴리스틱 예산 관리 토너먼트,2025-05-11,2025-08-30,3732704
23,크로스 플랫폼 객체 지향적 분석 토너먼트,2025-02-27,2025-08-15,700067
24,비즈니스 중점적 인간자원 예보 토너먼트,2025-03-22,2025-08-19,7959141
25,안전한 필수 소프트웨어 토너먼트,2025-01-11,2026-04-22,4644514
