project_id,title,creator_name,goal_amount,like_count,created_at
28,크로스 그룹 장거리 안내 창구,황예준,16323986,137,2024-09-11
16,트리플 버퍼 장거리 인터페이스,이예준,10513616,168,2025-04-11
24,적응된 멀티미디어 모니터링,한영숙,1655416,117,2024-12-23
18,수익에 중점을 둔 지역적 GUI,송준혁,23059693,126,2025-01-13
9,크로스 그룹 비동기 그룹웨어,김지연,15619335,79,2024-11-16
10,품질 중심의 최대화 모델,안성진,24766130,118,2025-02-16
29,크로스 그룹 백그라운드 배열,박지원,22881530,98,2024-07-12
25,공개 키 분리형 암호화,허수민,2674513,99,2024-06-13
13,조절 가능한 다이나믹 어플리케이션,홍영환,2768227,110,2024-12-07
1,수익에 중점을 둔 멀티 태스킹 예산 관리,장서준,3931729,190,2025-02-16
5,가상 요약 예산 관리,김지민,46627377,95,2025-01-23
17,트리플 버퍼 무관용 미들웨어,박은지,6769547,38,2024-09-13
6,유기농 주파수 탐지 가능 프로토콜,김영호,6387343,175,2024-11-30
14,모니터링되는 분석중인 공개 시스템,한수진,20030881,129,2024-09-26
12,모니터링되는 선구적 에뮬레이션,임지혜,48740374,90,2025-05-23
23,리버스 엔지니어링된 문맥 기반 인트라넷,김재현,8557808,64,2025-03-28
2,사용자 중심의 잘 모듈화된 보안구역,한진호,41141180,194,2025-01-26
3,미래가 보장된 객체 지향적 코어,윤경희,40888363,187,2024-08-11
26,복제된 24시간 미들웨어,박민수,18747493,50,2024-10-30
4,다중 주파수 해답 기반 에뮬레이션,한지혜,16179839,134,2024-06-27
22,선택적 역수 서비스 창구,김지연,48112828,170,2024-07-05
