project_id,title,creator_id,goal_amount,current_amount,status,like_count,created_at
49,다용도 밀착 예보,10,36503495,8466555,진행중,109,2024-10-06
25,반동적인 역수 프레임워크,2,4428946,5548809,진행중,12,2024-07-09
44,크로스 그룹 비동기 엔진,36,5106824,2825121,실패,177,2025-02-02
78,인체 공학적인 역수 정의,42,47331326,11102,실패,15,2024-09-24
58,완벽히 설정된 비동기 시너지,21,8785710,4021335,진행중,52,2025-04-18
12,숙련된 분리형 인터페이스,15,9813953,8828206,실패,179,2024-09-27
33,수익에 중점을 둔 6세대 프로젝트,21,21322888,6689327,진행중,91,2024-12-14
76,무결점의 6세대 에뮬레이션,26,14649368,88042,성공,77,2024-09-09
60,사용자 중심의 헌신적 능력,43,9511801,7832315,준비중,10,2024-12-18
64,프로그래밍 가능한 무관리 패러다임,34,40430542,3486409,진행중,147,2024-11-11
70,변경 가능한 요약 융합,35,3185455,6831295,준비중,106,2024-09-12
38,안정적인 실시간 데이터베이스,40,23201876,2593393,진행중,98,2024-10-01
30,자동화된 국가적 보안구역,42,20034237,9145511,실패,180,2024-09-06
2,품질 중심의 무해한 시너지,33,42636214,3774081,실패,43,2025-04-15
53,적응된 24시간 포탈,50,24385190,5930238,진행중,81,2025-02-06
22,복제된 환경 친화적 그래픽 인터페이스,44,31296191,2267879,진행중,189,2024-07-08
3,안전한 정적 축적,24,35221178,9992461,진행중,2,2024-11-01
24,유저 친화적 국가적 능력,14,22205254,6892177,성공,39,2024-12-21
75,크로스 플랫폼 문맥 기반 허브,33,18199551,1943123,실패,148,2024-09-09
21,확장된 해답 기반 안내 창구,47,44464650,5462307,실패,66,2025-03-24
61,완벽히 설정된 휴대형 서비스 창구,28,33616860,6268764,실패,137,2024-07-18
72,진보적인 휴리스틱 알고리즘,49,1462127,5839634,성공,167,2025-06-01
15,융합력있는 웹 사용 가능 환경,6,46758566,7162039,성공,105,2024-07-02
52,유저 친화적 컨텐츠 기반 그래픽 인터페이스,4,8293654,7767408,성공,150,2024-07-20
