tag_id,tag_name,description,color,quality_rating,is_verified
1,혁신,Cum error pariatur. Alias nesciunt autem corrupti quam minus.,#4ECDC4,2.8,True
2,친환경,Quas hic dolor excepturi sed. Rem fugit repellat sapiente.,#FFEAA7,1.5,False
3,스마트,Voluptates molestias voluptate odio magni.,#FF6B6B,1.1,True
4,감성,Odit sunt enim rerum repudiandae. Minima aperiam labore necessitatibus.,#45B7D1,2.1,True
5,실용성,Architecto ut veritatis illum maxime tenetur.,#FF6B6B,1.7,True
6,AI,Iusto nemo occaecati esse excepturi. Corrupti quasi nostrum similique.,#FFEAA7,5.0,True
7,디자인,Quo perspiciatis aliquid in ex natus aperiam.,#FF6B6B,1.1,True
8,건강,Ad reprehenderit ea. Amet libero veniam totam doloribus.,#4ECDC4,1.8,False
9,교육,Quam aliquid pariatur sit consequatur. Labore modi optio commodi saepe.,#4ECDC4,2.7,True
10,소셜,Illo animi sunt. Tenetur tempore pariatur non dolorum unde ea reiciendis.,#45B7D1,3.0,True
11,모바일,Aliquid dolorem ipsum animi. Quisquam cumque temporibus culpa.,#FFEAA7,4.9,True
12,블록체인,Assumenda atque repudiandae modi at vero. Minima perspiciatis harum sed quae.,#45B7D1,3.1,True
13,스타트업,Inventore eos exercitationem provident amet accusantium eos.,#FF6B6B,2.2,True
14,크라우드펀딩,Commodi aliquam ab dicta aspernatur inventore. Maiores nostrum aut a sequi vel.,#FF6B6B,4.3,False
15,창업,Nemo sit in eum odit. Dolor maiores rem natus.,#96CEB4,4.5,False
